state,year,food_tons_clean,log_food_tons,pce_scaled,centered_search_roll,inflation_adjusted_tipping_fee,adjusted_quant_score_linear
california,2008,6066845,15.618349258551268,18.81099585954283,3.990310077519382,53.050039148693855,0
california,2018,5620637,15.541955560642522,23.63414986951664,2.740310077519382,55.20190580332734,11.55
connecticut,2009,320824,12.678647965143726,1.845615712928552,2.4069767441860392,71.64352252657827,0
connecticut,2015,519832,13.16126096143394,2.00259,-6.676356589147289,71.2,3.625431594579544
delaware,2016,132001,11.790564777297387,0.5322474030429823,-9.259689922480618,71.81811306485159,0
georgia,2004,665545.5862,13.408362413644896,4.203688579588218,-8.259689922480618,44.13323464100665,0
illinois,2008,1838100,14.424242987381856,6.177404885209922,3.990310077519382,47.104776140650586,0
iowa,2016,175449.71000000002,12.075107728117434,1.4943693036799515,-2.509689922480618,50.43788996029495,0
iowa,2022,226103.357,12.328747505568488,1.6641375436290506,13.573643410852718,57.067500105638686,0
missouri,2017,578314,13.2678722527414,2.9888416668,-1.6763565891472822,51.400000000000006,0
pennsylvania,2002,1127759,13.935743035730928,5.487945824120718,6.656976744186039,69.00450000000001,0
rhode island,2015,100030,11.513225419979229,0.59344,-2.009689922480618,71.2,6.075776870243178
vermont,2018,81628,11.309927619348976,0.39718635701855876,-23.759689922480618,67.24595797859877,15.550199197498252
washington,2009,891132,13.700247843628242,3.4696966912223557,11.990310077519382,55.06761436437304,0
washington,2016,759935,13.54098818228914,3.968210688172352,-0.09302325581395365,56.46322556248819,0
washington,2020,664453,13.406719424761878,4.460608079193258,21.573643410852718,53.480145899580464,0
wisconsin,2000,663860,13.405826562854488,2.453357226322127,5.906976744186039,43.18,0
wisconsin,2003,484013,13.08986704484219,2.484876652436069,5.906976744186039,43.176,0
wisconsin,2009,490969,13.104136268327256,2.5943308415204367,5.906976744186039,47.94776119402986,0
california,1999,5584506,15.535506535364805,15.093409617227667,3.990310077519382,47.03,0
california,2003,5854352,15.582695874252003,17.030866252206575,3.990310077519382,47.031000000000006,0
california,2014,5591179,15.53670073523587,19.944185630131372,-0.8430232558139537,57.455936646383215,7.371
california,2021,4362949,15.288658762832751,26.233630097551753,17.073643410852718,53.09848680807036,12.775
indiana,2008,937119,13.750565554223842,2.9525675337919544,4.323643410852718,47.104776140650586,0
maine,2007,218620,12.295090341847828,0.7086260853571348,-4.176356589147289,74.62253193960511,0
massachusetts,2002,879767,13.687412378668627,3.6090252437312973,-5.759689922480618,69.00450000000001,0
massachusetts,2010,460342.375,13.039725785094513,3.8040036201797016,-5.759689922480618,71.53588042400672,0
massachusetts,2022,833760,13.63370087014304,4.907407112462053,9.573643410852718,67.41520231318552,13.78178949322443
michigan,2015,1069672.489,13.882863074537772,4.6405400000000006,-10.34302325581395,49.8,0
minnesota,2013,519400,13.160429578210785,2.606543620603988,-7.509689922480618,47.94157937147461,0
missouri,2006,461856.759,13.0430100765353,2.745800309681247,-10.84302325581395,46.86503872036146,0
nebraska,2008,223309,12.316311741539106,0.833001071852452,-23.093023255813954,47.104776140650586,0
new york,2018,3043000,14.928354428879109,11.655942917313528,6.906976744186039,67.24595797859877,0
ohio,2016,1622695,14.299598905238602,5.9168873184218524,-4.34302325581395,50.43788996029495,0
oregon,2002,495990,13.1143110442135,1.773235926847719,0.57364341085271775,46.26,0
oregon,2005,477419,13.076149791005678,1.9924424036461088,0.57364341085271775,48.75542550597415,0
oregon,2009,457382,13.03327420693246,1.9955355695602721,16.490310077519382,55.06761436437304,0
oregon,2016,479261,13.08000061317448,2.309494041507584,-0.8430232558139537,56.46322556248819,0
pennsylvania,2021,1593109,14.281198010907906,6.981306246278691,6.656976744186039,69.13605794102432,0
tennessee,2005,1020899,13.83619416962876,2.697258007744876,-31.34302325581395,44.744696415508415,0
washington,2003,869800,13.676018579145676,3.1757381753527376,11.990310077519382,47.031000000000006,0
wisconsin,2020,854000,13.657686472770706,2.8820201601975923,12.323643410852718,49.273842289501104,0
vermont,2023,71114,11.172039502174462,0.41342196025273387,-20.009689922480618,67.21063000876087,16
